bin_count,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime,labels_consumed_during_fit
8,Grid-Network,1024,0.9127568840579711,0.726206518241937,0.6394927536231884,0.6394927536231884,0.6394927536231884,9.066428099991754,False
8,Grid-Network,2048,0.9145057971014494,0.7323713484212279,0.6739130434782609,0.6739130434782609,0.6739130434782609,9.922157599998172,False
8,Grid-Network,3072,0.9132489130434782,0.7485062913674992,0.657608695652174,0.657608695652174,0.657608695652174,5.84229860000778,False
8,Grid-Network,4096,0.9318532608695653,0.7702448217283352,0.7065217391304348,0.7065217391304348,0.7065217391304348,3.9330446000094526,False
8,Grid-Network,5120,0.934525724637681,0.7737364522038602,0.6757246376811594,0.6757246376811594,0.6757246376811594,4.425268999999389,False
8,Grid-Network,6144,0.9238003623188404,0.7660284607147675,0.657608695652174,0.657608695652174,0.657608695652174,3.1223364000034053,False
8,Porto-derived,42,0.9806250000000001,0.8949222214473586,0.8206521739130435,0.8206521739130435,0.8206521739130435,2.1913251999940258,False
8,Porto-derived,123,0.9744134057971013,0.8232825464684687,0.769927536231884,0.769927536231884,0.769927536231884,3.5483090999769047,False
8,Porto-derived,456,0.9668278985507246,0.841624091731146,0.7554347826086957,0.7554347826086957,0.7554347826086957,2.059453499998199,False
8,Porto-derived,789,0.960493115942029,0.7558707521518699,0.6648550724637681,0.6648550724637681,0.6648550724637681,4.630780599982245,False
8,Porto-derived,1024,0.9610134057971015,0.7786734539717864,0.6811594202898551,0.6811594202898551,0.6811594202898551,3.0826438999793027,False
8,Synthetic,42,0.8852336956521738,0.6426426448611028,0.6793478260869565,0.6793478260869565,0.6793478260869565,17.60918890000903,False
8,Synthetic,123,0.8954452898550725,0.6735810816406576,0.6648550724637681,0.6648550724637681,0.6648550724637681,14.65245149997645,False
8,Synthetic,456,0.8509445652173913,0.589840487688149,0.5760869565217391,0.5760869565217391,0.5760869565217391,17.606698500021594,False
8,Synthetic,789,0.8464902173913044,0.5905518963230805,0.572463768115942,0.572463768115942,0.572463768115942,13.423445799999172,False
8,Synthetic,1024,0.8362514492753623,0.5473638706759589,0.5452898550724637,0.5452898550724637,0.5452898550724637,7.586791600013385,False
8,Synthetic,2048,0.9124221014492754,0.75018918228266,0.7210144927536232,0.7210144927536232,0.7210144927536232,19.441899299999932,False
8,Synthetic,3072,0.852172463768116,0.5367159968814124,0.5362318840579711,0.5362318840579711,0.5362318840579711,12.312676900008228,False
8,Synthetic,4096,0.857349275362319,0.5578538149546944,0.5434782608695652,0.5434782608695652,0.5434782608695652,11.767515200015623,False
8,Synthetic,5120,0.9125731884057973,0.7954601325311839,0.7626811594202898,0.7626811594202898,0.7626811594202898,9.915503299998818,False
8,Synthetic,6144,0.8691666666666666,0.5735876108042144,0.572463768115942,0.572463768115942,0.572463768115942,14.216828300006455,False
16,GeoLife,42,0.8096917670682733,0.4734291718996281,0.4578313253012048,0.4578313253012048,0.4578313253012048,0.9766899999813177,False
16,GeoLife,123,0.8364196787148594,0.5650650979187541,0.5451807228915663,0.5451807228915663,0.5451807228915663,1.4712391000066418,False
16,GeoLife,456,0.7894969879518072,0.38831381034046025,0.3704819277108434,0.3704819277108434,0.3704819277108434,0.7662454999808688,False
16,GeoLife,789,0.8294196787148594,0.5599982107055049,0.5301204819277109,0.5301204819277109,0.5301204819277109,1.3777107000059914,False
16,GeoLife,1024,0.8490722891566265,0.5706993935214961,0.5240963855421686,0.5240963855421686,0.5240963855421686,1.228798199997982,False
16,Grid-Network,42,0.9365626811594203,0.7919732320942284,0.7355072463768116,0.7355072463768116,0.7355072463768116,2.8570535000180826,False
16,Grid-Network,123,0.8907985507246378,0.70524284678074,0.6467391304347826,0.6467391304347826,0.6467391304347826,3.0774382000090554,False
16,Grid-Network,456,0.9298010869565217,0.7724634486347278,0.7119565217391305,0.7119565217391305,0.7119565217391305,2.8095319000130985,False
16,Grid-Network,789,0.9382097826086956,0.729511748157703,0.6467391304347826,0.6467391304347826,0.6467391304347826,2.8804915999935474,False
16,Grid-Network,1024,0.9145539855072466,0.7196730943791357,0.6286231884057971,0.6286231884057971,0.6286231884057971,2.755541099992115,False
16,Grid-Network,2048,0.9136597826086956,0.7370813008930699,0.6811594202898551,0.6811594202898551,0.6811594202898551,2.515747099998407,False
16,Grid-Network,3072,0.9104260869565217,0.7433627443269876,0.6485507246376812,0.6485507246376812,0.6485507246376812,2.414020199998049,False
16,Grid-Network,4096,0.9305920289855072,0.7644978818235786,0.6902173913043478,0.6902173913043478,0.6902173913043478,2.7486131000041496,False
16,Grid-Network,5120,0.9280807971014492,0.764192663765993,0.6757246376811594,0.6757246376811594,0.6757246376811594,2.960458700021263,False
16,Grid-Network,6144,0.9248101449275361,0.7616940038264295,0.6521739130434783,0.6521739130434783,0.6521739130434783,2.3061287000018638,False
16,Porto-derived,42,0.9754811594202898,0.8780904726841601,0.8043478260869565,0.8043478260869565,0.8043478260869565,1.609571099979803,False
16,Porto-derived,123,0.9717543478260869,0.7981068358709872,0.7572463768115942,0.7572463768115942,0.7572463768115942,2.4880750000011176,False
