dataset,method,seed,n_samples,end_to_end_seconds,fit_score_seconds,timing_scope,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,device
GeoLife,LSTM-AE,42,3332,12.360458228271455,12.360458228271455,fit_score_plus_job_io; pure training and scoring are not separated,72,,208290,0,cuda:6
GeoLife,LSTM-AE,123,3332,13.623572053853422,13.623572053853422,fit_score_plus_job_io; pure training and scoring are not separated,80,,208290,0,cuda:6
GeoLife,LSTM-AE,456,3332,13.623808709904552,13.623808709904552,fit_score_plus_job_io; pure training and scoring are not separated,80,,208290,0,cuda:6
GeoLife,LSTM-AE,789,3332,13.219146597199142,13.219146597199142,fit_score_plus_job_io; pure training and scoring are not separated,80,,208290,0,cuda:6
GeoLife,LSTM-AE,1024,3332,12.689391508698463,12.689391508698463,fit_score_plus_job_io; pure training and scoring are not separated,72,,208290,0,cuda:6
GeoLife,USAD,42,3332,19.358599356375635,19.358599356375635,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:7
GeoLife,USAD,123,3332,20.722215390764177,20.722215390764177,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:7
GeoLife,USAD,456,3332,20.371508345007896,20.371508345007896,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:7
GeoLife,USAD,789,3332,20.750495896674693,20.750495896674693,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:7
GeoLife,USAD,1024,3332,20.329547484871,20.329547484871,fit_score_plus_job_io; pure training and scoring are not separated,80,,25828,0,cuda:7
GeoLife,LM-TAD,42,3332,356.3286337191239,353.87935493979603,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1250551296,cuda:0
GeoLife,LM-TAD,123,3332,531.9531420348212,529.3933355086483,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1250551296,cuda:0
GeoLife,LM-TAD,456,3332,512.9854764030315,510.459669765085,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1250551296,cuda:0
GeoLife,LM-TAD,789,3332,502.3612662400119,500.14583571301773,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1250551296,cuda:0
GeoLife,LM-TAD,1024,3332,453.4041101508774,450.9356295960024,adapter_fit_plus_score; pure training and scoring are not separated,50,,56913408,1250551296,cuda:0
GeoLife,MST-OATD,42,3332,26.117972558829933,25.48263268219307,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
GeoLife,MST-OATD,123,3332,25.11852240981534,24.5948972213082,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
GeoLife,MST-OATD,456,3332,26.030013287905604,25.519482764881104,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
GeoLife,MST-OATD,789,3332,25.24078448722139,24.64565174933523,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
GeoLife,MST-OATD,1024,3332,26.01151969563216,25.364010599907488,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
