dataset,method,seed,AUC,AUPRC,F1,Precision,Recall,Runtime
Grid-Network,SegmentOD,123,0.932876268115942,0.8540694699159727,0.7898550724637681,0.7898550724637681,0.7898550724637681,0.8730840771459043
Grid-Network,SegmentOD,456,0.9337170289855072,0.8566369336043652,0.7844202898550725,0.7844202898550725,0.7844202898550725,0.8589217071421444
Grid-Network,SegmentOD,789,0.943116304347826,0.8795932675262466,0.8134057971014492,0.8134057971014492,0.8134057971014492,0.8693108470179141
Grid-Network,SegmentOD,1024,0.9231242753623188,0.8425444981762379,0.769927536231884,0.769927536231884,0.769927536231884,0.7319721449166536
Grid-Network,SegmentOD,2048,0.9269557971014493,0.8545507139288506,0.7844202898550725,0.7844202898550725,0.7844202898550725,0.6490191887132823
Grid-Network,SegmentOD,3072,0.9317192028985507,0.8568583851085921,0.7807971014492754,0.7807971014492754,0.7807971014492754,0.5725566311739385
Grid-Network,SegmentOD,4096,0.9373168478260869,0.8692410352851913,0.8043478260869565,0.8043478260869565,0.8043478260869565,0.49596473993733525
Grid-Network,SegmentOD,5120,0.9305432971014493,0.8608073112145248,0.7971014492753623,0.7971014492753623,0.7971014492753623,0.7051943452097476
Grid-Network,SegmentOD,6144,0.9208838768115941,0.8443817170522984,0.7807971014492754,0.7807971014492754,0.7807971014492754,0.8710741060785949
Grid-Network,TADS,42,0.8189659420289855,0.5457000773107767,0.5579710144927537,0.5579710144927537,0.5579710144927537,5.9563873102888465
Grid-Network,TADS,123,0.825890579710145,0.6001675311073679,0.5471014492753623,0.5471014492753623,0.5471014492753623,4.238607167266309
Grid-Network,TADS,456,0.8119068840579711,0.6031825335164778,0.5706521739130435,0.5706521739130435,0.5706521739130435,5.037599740084261
Grid-Network,TADS,789,0.8342170289855071,0.649656723988572,0.5652173913043478,0.5652173913043478,0.5652173913043478,4.804442383814603
Grid-Network,TADS,1024,0.8454449275362318,0.6422165808117395,0.5833333333333334,0.5833333333333334,0.5833333333333334,5.305236374028027
Grid-Network,TADS,2048,0.7948985507246376,0.5796073730269901,0.5271739130434783,0.5271739130434783,0.5271739130434783,4.5726436991244555
Grid-Network,TADS,3072,0.8215210144927536,0.6386109675680686,0.5652173913043478,0.5652173913043478,0.5652173913043478,4.147260576952249
Grid-Network,TADS,4096,0.8090771739130436,0.596495643025193,0.519927536231884,0.519927536231884,0.519927536231884,5.178628433961421
Grid-Network,TADS,5120,0.8066452898550726,0.5645289622011873,0.5018115942028986,0.5018115942028986,0.5018115942028986,4.1556438729166985
Grid-Network,TADS,6144,0.8059499999999999,0.5566815524732133,0.5181159420289855,0.5181159420289855,0.5181159420289855,4.458520913030952
Grid-Network,Profile-TAD,42,0.8082583333333333,0.219299261577762,0.10869565217391304,0.10869565217391304,0.10869565217391304,2.48350315913558
Grid-Network,Profile-TAD,123,0.8042514492753623,0.20623071546674557,0.1286231884057971,0.1286231884057971,0.1286231884057971,1.585246419068426
Grid-Network,Profile-TAD,456,0.7727039855072464,0.19133539586460013,0.1068840579710145,0.1068840579710145,0.1068840579710145,2.475087643135339
Grid-Network,Profile-TAD,789,0.8338742753623187,0.2640632146517814,0.13768115942028986,0.13768115942028986,0.13768115942028986,1.7388873849995434
Grid-Network,Profile-TAD,1024,0.8209789855072465,0.2397346723468063,0.14855072463768115,0.14855072463768115,0.14855072463768115,1.716104760300368
Grid-Network,Profile-TAD,2048,0.8003021739130435,0.21440896786939762,0.1068840579710145,0.1068840579710145,0.1068840579710145,2.1122102201916277
Grid-Network,Profile-TAD,3072,0.7500985507246377,0.1731176930041835,0.10144927536231885,0.10144927536231885,0.10144927536231885,2.2992300409823656
Grid-Network,Profile-TAD,4096,0.7935605072463767,0.2169558700172628,0.07971014492753623,0.07971014492753623,0.07971014492753623,2.164761846885085
Grid-Network,Profile-TAD,5120,0.7732155797101449,0.2042565316446012,0.1213768115942029,0.1213768115942029,0.1213768115942029,2.307658734731376
Grid-Network,Profile-TAD,6144,0.7590648550724638,0.18899191540556878,0.11594202898550725,0.11594202898550725,0.11594202898550725,2.3344986769370735
Grid-Network,LSTM-AE,42,0.8496724637681159,0.6507847422914411,0.5942028985507246,0.5942028985507246,0.5942028985507246,14.901368553750217
Grid-Network,LSTM-AE,123,0.7772083333333334,0.43803063241807855,0.4257246376811594,0.4257246376811594,0.4257246376811594,12.425952621269971
Grid-Network,LSTM-AE,456,0.8385293478260869,0.6230275561502725,0.5471014492753623,0.5471014492753623,0.5471014492753623,11.998386384919286
Grid-Network,LSTM-AE,789,0.7977561594202898,0.5512959752621142,0.5307971014492754,0.5307971014492754,0.5307971014492754,8.758292497135699
Grid-Network,LSTM-AE,1024,0.8392949275362319,0.5471582953403623,0.5452898550724637,0.5452898550724637,0.5452898550724637,18.494489938020706
Grid-Network,LSTM-AE,2048,0.8083253623188407,0.4828574316912772,0.42028985507246375,0.42028985507246375,0.42028985507246375,12.162527911830693
Grid-Network,LSTM-AE,3072,0.8250826086956522,0.59631255350999,0.5416666666666666,0.5416666666666666,0.5416666666666666,11.994333697948605
Grid-Network,LSTM-AE,4096,0.8483797101449275,0.6286701608547381,0.5797101449275363,0.5797101449275363,0.5797101449275363,13.68790425406769
Grid-Network,LSTM-AE,5120,0.8633844202898552,0.6676608621989357,0.5706521739130435,0.5706521739130435,0.5706521739130435,15.415630460716784
Grid-Network,LSTM-AE,6144,0.8305858695652175,0.6185953210979669,0.5507246376811594,0.5507246376811594,0.5507246376811594,12.940377270337194
Grid-Network,USAD,42,0.9632003623188407,0.8900255899194119,0.8260869565217391,0.8260869565217391,0.8260869565217391,31.832860651426017
Grid-Network,USAD,123,0.9591619565217391,0.8810660511621039,0.8097826086956522,0.8097826086956522,0.8097826086956522,31.747713605407625
Grid-Network,USAD,456,0.9641692028985507,0.8876613211360103,0.8188405797101449,0.8188405797101449,0.8188405797101449,32.152743857353926
Grid-Network,USAD,789,0.966084420289855,0.8940150525614387,0.8260869565217391,0.8260869565217391,0.8260869565217391,31.597684055101126
Grid-Network,USAD,1024,0.9602717391304347,0.868001667208821,0.7880434782608695,0.7880434782608695,0.7880434782608695,29.83541127713397
Grid-Network,USAD,2048,0.9621826086956523,0.8782905705111028,0.8061594202898551,0.8061594202898551,0.8061594202898551,30.27938750386238
Grid-Network,USAD,3072,0.9490996376811593,0.837491536400311,0.7735507246376812,0.7735507246376812,0.7735507246376812,28.96899181511253
Grid-Network,USAD,4096,0.9634902173913042,0.8681521611410006,0.7989130434782609,0.7989130434782609,0.7989130434782609,29.325210012029856
Grid-Network,USAD,5120,0.9526047101449276,0.8637930358410694,0.7952898550724637,0.7952898550724637,0.7952898550724637,30.638707648031414
Grid-Network,USAD,6144,0.9540467391304348,0.855779494893485,0.7862318840579711,0.7862318840579711,0.7862318840579711,31.64351741457358
Grid-Network,LM-TAD,42,0.7091567028985508,0.22583785142356017,0.21195652173913043,0.21195652173913043,0.21195652173913043,856.4590054261498
Grid-Network,LM-TAD,123,0.7217079710144927,0.2554581774265836,0.25,0.25,0.25,829.9280490870588
Grid-Network,LM-TAD,456,0.7313574275362318,0.28450620780618274,0.2898550724637681,0.2898550724637681,0.2898550724637681,758.282732241787
Grid-Network,LM-TAD,789,0.7326105072463768,0.2328748824025712,0.21014492753623187,0.21014492753623187,0.21014492753623187,761.8859179709107
Grid-Network,LM-TAD,1024,0.7887010869565217,0.31865813232542717,0.3061594202898551,0.3061594202898551,0.3061594202898551,810.5995144229382
Grid-Network,LM-TAD,2048,0.7132577898550724,0.23968936528345983,0.2463768115942029,0.2463768115942029,0.2463768115942029,798.7869936358184
Grid-Network,LM-TAD,3072,0.7291476449275363,0.25844642420896147,0.2572463768115942,0.2572463768115942,0.2572463768115942,777.9271573028527
Grid-Network,LM-TAD,4096,0.7279813405797102,0.26054170061013027,0.24456521739130435,0.24456521739130435,0.24456521739130435,671.6543399370275
Grid-Network,LM-TAD,5120,0.7314291666666668,0.23346373273580762,0.24094202898550723,0.24094202898550723,0.24094202898550723,827.0265655419789
Grid-Network,LM-TAD,6144,0.7449117753623189,0.25156734598926656,0.2572463768115942,0.2572463768115942,0.2572463768115942,874.4746319968253
Grid-Network,MST-OATD,42,0.8653347826086957,0.7064792543562042,0.6485507246376812,0.6485507246376812,0.6485507246376812,35.31759615102783
Grid-Network,MST-OATD,123,0.8603717391304347,0.649364466924905,0.5815217391304348,0.5815217391304348,0.5815217391304348,35.165816497057676
Grid-Network,MST-OATD,456,0.8570641304347826,0.6660195631710586,0.5960144927536232,0.5960144927536232,0.5960144927536232,36.02089507924393
Grid-Network,MST-OATD,789,0.8987284420289855,0.7566451104841719,0.677536231884058,0.677536231884058,0.677536231884058,34.653922006022185
Grid-Network,MST-OATD,1024,0.8900096014492754,0.7487747189124175,0.6793478260869565,0.6793478260869565,0.6793478260869565,35.03276612376794
Grid-Network,MST-OATD,2048,0.8302835144927536,0.6534644840787633,0.6032608695652174,0.6032608695652174,0.6032608695652174,34.953454456757754
Grid-Network,MST-OATD,3072,0.8649711956521738,0.6697662480460416,0.6268115942028986,0.6268115942028986,0.6268115942028986,34.85042270924896
Grid-Network,MST-OATD,4096,0.8876635869565218,0.7449625029612607,0.6684782608695652,0.6684782608695652,0.6684782608695652,35.48996995994821
Grid-Network,MST-OATD,5120,0.8748434782608696,0.70478107811679,0.644927536231884,0.644927536231884,0.644927536231884,35.02714975690469
Grid-Network,MST-OATD,6144,0.8700356884057971,0.7124385099424374,0.6467391304347826,0.6467391304347826,0.6467391304347826,34.100624999031425
Porto-derived,EWGB-TAD,42,0.9760891304347826,0.8798782588753034,0.8007246376811594,0.8007246376811594,0.8007246376811594,4.299912000002223
