analysis,variant,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime
component,g0_l1_f0,Grid-Network,5120,0.8648514492753622,0.6982470004383368,0.644927536231884,0.644927536231884,0.644927536231884,5.192925799987279
component,g0_l1_f1,Grid-Network,5120,0.9008869565217392,0.726062660602635,0.6521739130434783,0.6521739130434783,0.6521739130434783,4.754492799984291
component,g1_l0_f0,Grid-Network,5120,0.9394884057971014,0.8580740634141999,0.7862318840579711,0.7862318840579711,0.7862318840579711,4.834348100004718
component,g1_l0_f1,Grid-Network,5120,0.9376202898550724,0.8028667941410799,0.7119565217391305,0.7119565217391305,0.7119565217391305,5.419114499993157
component,g1_l1_f0,Grid-Network,5120,0.9246304347826088,0.810122374577232,0.7282608695652174,0.7282608695652174,0.7282608695652174,8.673550500010606
component,g1_l1_f1,Grid-Network,5120,0.9323518115942028,0.768589324634674,0.6739130434782609,0.6739130434782609,0.6739130434782609,8.624871300009545
component,g0_l0_f0,Grid-Network,6144,0.8461079710144928,0.6493141764473552,0.5815217391304348,0.5815217391304348,0.5815217391304348,4.343987300002482
component,g0_l0_f1,Grid-Network,6144,0.8989355072463767,0.7426431954413281,0.6648550724637681,0.6648550724637681,0.6648550724637681,5.841345600027125
component,g0_l1_f0,Grid-Network,6144,0.8311909420289855,0.6528211317030767,0.6105072463768116,0.6105072463768116,0.6105072463768116,4.571164000022691
component,g0_l1_f1,Grid-Network,6144,0.8885159420289855,0.7061738259599328,0.625,0.625,0.625,5.186706000007689
component,g1_l0_f0,Grid-Network,6144,0.9222409420289855,0.80950127727962,0.730072463768116,0.730072463768116,0.730072463768116,3.3778717999812216
component,g1_l0_f1,Grid-Network,6144,0.9278793478260869,0.8039616054401423,0.730072463768116,0.730072463768116,0.730072463768116,3.4588692000252195
component,g1_l1_f0,Grid-Network,6144,0.9160916666666667,0.7858001437664227,0.7119565217391305,0.7119565217391305,0.7119565217391305,8.905077600036748
component,g1_l1_f1,Grid-Network,6144,0.9279050724637681,0.7823957499299983,0.677536231884058,0.677536231884058,0.677536231884058,4.610454600013327
component,g0_l0_f0,Porto-derived,42,0.9711021739130433,0.8466999984496455,0.7789855072463768,0.7789855072463768,0.7789855072463768,5.464966300001834
component,g0_l0_f1,Porto-derived,42,0.9797525362318842,0.8691822508568963,0.7934782608695652,0.7934782608695652,0.7934782608695652,4.4422567000146955
component,g0_l1_f0,Porto-derived,42,0.9806586956521739,0.8868404528875996,0.8278985507246377,0.8278985507246377,0.8278985507246377,5.290917999984231
component,g0_l1_f1,Porto-derived,42,0.9853605072463767,0.9097653753906882,0.8496376811594203,0.8496376811594203,0.8496376811594203,4.645438799983822
component,g1_l0_f0,Porto-derived,42,0.9581478260869565,0.8464442275409371,0.7880434782608695,0.7880434782608695,0.7880434782608695,3.899843699997291
component,g1_l0_f1,Porto-derived,42,0.9771663043478261,0.8888530809641234,0.8206521739130435,0.8206521739130435,0.8206521739130435,3.322351799986791
component,g1_l1_f0,Porto-derived,42,0.9635315217391304,0.8685208632658145,0.8007246376811594,0.8007246376811594,0.8007246376811594,4.990993299987167
component,g1_l1_f1,Porto-derived,42,0.9760891304347826,0.8798782588753034,0.8007246376811594,0.8007246376811594,0.8007246376811594,3.5963030999992043
component,g0_l0_f0,Porto-derived,123,0.9687557971014493,0.8292247163320097,0.7409420289855072,0.7409420289855072,0.7409420289855072,4.689891899994109
component,g0_l0_f1,Porto-derived,123,0.9675884057971015,0.8111529055523692,0.7228260869565217,0.7228260869565217,0.7228260869565217,4.487763200013433
component,g0_l1_f0,Porto-derived,123,0.9757119565217391,0.8652150566273453,0.7880434782608695,0.7880434782608695,0.7880434782608695,4.624029200000223
