dataset,seed,variant,tau,fusion_bins,AUC,AUPRC,F1,Precision,Recall,spatial_balls,kinematic_balls,shape_balls,spatial_view_weight,kinematic_view_weight,shape_view_weight,labels_consumed_during_fit
Grid-Network,3072,tau0p80,0.8,20,0.9128394927536231,0.7458104325514368,0.6503623188405797,0.6503623188405797,0.6503623188405797,149,154,44,0.3991005503153259,0.5781988086278657,0.022700641056808555,False
Grid-Network,4096,tau0p80,0.8,20,0.9341898550724638,0.7777026535382396,0.717391304347826,0.717391304347826,0.717391304347826,157,169,44,0.40794797581243114,0.5703609945958934,0.021691029591675563,False
Grid-Network,5120,tau0p80,0.8,20,0.9323547101449274,0.7686272212016562,0.6739130434782609,0.6739130434782609,0.6739130434782609,163,168,62,0.3619921050355693,0.6050417185854036,0.032966176379027136,False
Grid-Network,6144,tau0p80,0.8,20,0.9279050724637681,0.7823957499299983,0.677536231884058,0.677536231884058,0.677536231884058,146,91,53,0.2166923015745961,0.7440431776718823,0.03926452075352159,False
Porto-derived,42,tau0p80,0.8,20,0.9757159420289855,0.8779444711901694,0.8007246376811594,0.8007246376811594,0.8007246376811594,1,155,58,0.21744802101472685,0.6776216039811344,0.10493037500413872,False
Porto-derived,123,tau0p80,0.8,20,0.9739402173913044,0.8207220106558748,0.7626811594202898,0.7626811594202898,0.7626811594202898,139,177,38,0.3668358479012887,0.5945005981787933,0.038663553919917985,False
Porto-derived,456,tau0p80,0.8,20,0.9687688405797101,0.8508625803133817,0.7644927536231884,0.7644927536231884,0.7644927536231884,1,159,69,0.0708170758577562,0.7177500029655475,0.21143292117669632,False
Porto-derived,789,tau0p80,0.8,20,0.9583923913043478,0.7551989137183451,0.6684782608695652,0.6684782608695652,0.6684782608695652,123,180,74,0.3489087834834398,0.6066640932967009,0.04442712321985932,False
Porto-derived,1024,tau0p80,0.8,20,0.9622992753623189,0.784473871831172,0.6956521739130435,0.6956521739130435,0.6956521739130435,143,139,17,0.3243311053411553,0.6399301189068445,0.0357387757520003,False
Synthetic,42,tau0p80,0.8,20,0.8938119565217392,0.6607650300148835,0.7137681159420289,0.7137681159420289,0.7137681159420289,234,203,94,0.03510011079534551,0.8185739310186269,0.1463259581860276,False
Synthetic,123,tau0p80,0.8,20,0.9014945652173912,0.6993739542657049,0.6884057971014492,0.6884057971014492,0.6884057971014492,239,202,106,0.03678111312490925,0.8173838668799918,0.1458350199950989,False
Synthetic,456,tau0p80,0.8,20,0.8804826086956522,0.648033928808185,0.6322463768115942,0.6322463768115942,0.6322463768115942,202,196,79,0.04912823867349298,0.8600102041748455,0.09086155715166155,False
Synthetic,789,tau0p80,0.8,20,0.8442630434782609,0.5793108473027899,0.5634057971014492,0.5634057971014492,0.5634057971014492,1,198,79,0.4814498399841119,0.49640637402548343,0.02214378599040467,False
Synthetic,1024,tau0p80,0.8,20,0.8332826086956522,0.546183278281218,0.5416666666666666,0.5416666666666666,0.5416666666666666,1,191,90,0.5517945550481206,0.4246994285820972,0.02350601636978217,False
Synthetic,2048,tau0p80,0.8,20,0.9136210144927536,0.7386997529224077,0.7083333333333334,0.7083333333333334,0.7083333333333334,236,198,96,0.03550734801249723,0.8220850189923143,0.14240763299518835,False
Synthetic,3072,tau0p80,0.8,20,0.8564510869565218,0.5632896209727489,0.5543478260869565,0.5543478260869565,0.5543478260869565,1,207,90,0.48463477821021944,0.49541219638024864,0.019953025409531918,False
Synthetic,4096,tau0p80,0.8,20,0.8634097826086956,0.5832904534848135,0.5615942028985508,0.5615942028985508,0.5615942028985508,1,196,104,0.51215466124473,0.4679799787681564,0.019865359987113626,False
