dataset,seed,min_samples,view,n_balls,mean_ball_size,size_strata_available,size_stratum_cosine_mean,weighted_local_l1_from_run_profile
Grid-Network,456,16,spatial_path,92,60.34782608695652,3,0.9832683752815297,0.45183708834460684
Grid-Network,456,16,kinematic,106,52.37735849056604,3,0.9666333993210374,0.36726903978859704
Grid-Network,456,16,trajectory_shape,46,120.69565217391305,2,0.9355828241873333,0.48908891623513207
Grid-Network,456,32,spatial_path,53,104.75471698113208,3,0.9790315955590855,0.4234117872053849
Grid-Network,456,32,kinematic,62,89.54838709677419,3,0.9831439271806987,0.3293067757367414
Grid-Network,456,32,trajectory_shape,43,129.11627906976744,3,0.834835749211746,0.47731499305677866
Grid-Network,789,4,spatial_path,201,27.621890547263682,3,0.9356856340075419,0.5322825190364583
Grid-Network,789,4,kinematic,191,29.06806282722513,3,0.983263983774239,0.3910766272884511
Grid-Network,789,4,trajectory_shape,84,66.0952380952381,3,0.9769977630872911,0.6183515003078125
Grid-Network,789,8,spatial_path,165,33.64848484848485,3,0.9769700882966307,0.527697000657569
Grid-Network,789,8,kinematic,167,33.24550898203593,3,0.995949515392191,0.40342199273410695
Grid-Network,789,8,trajectory_shape,56,99.14285714285714,3,0.9211893587679816,0.5893373066579898
Grid-Network,789,16,spatial_path,117,47.452991452991455,3,0.9712649850044636,0.5066906043927979
Grid-Network,789,16,kinematic,122,45.50819672131148,3,0.9701801077974638,0.41189186304370673
Grid-Network,789,16,trajectory_shape,43,129.11627906976744,3,0.9019213473389852,0.5667311036056357
Grid-Network,789,32,spatial_path,63,88.12698412698413,3,0.9838214819231995,0.4357247004123198
Grid-Network,789,32,kinematic,54,102.81481481481481,3,0.9833957308887268,0.37116833598939153
Grid-Network,789,32,trajectory_shape,40,138.8,3,0.932614002885745,0.5464222705634507
Grid-Network,1024,4,spatial_path,191,29.06806282722513,3,0.8993505460214831,0.5155405272624148
Grid-Network,1024,4,kinematic,189,29.375661375661377,3,0.9939524932312773,0.3544985235297251
